iteration,latency_ns
708,47744500
709,57142666
710,60839291
711,62091333
712,56431042
713,54212209
714,47603958
715,45910250
716,60361792
717,58474833
718,53958333
719,54714042
720,54382041
721,54919583
722,53009042
723,48398959
724,67657667
725,54366708
726,65407167
727,57853833
728,57790333
729,51691875
730,58476375
731,48501666
732,47655625
733,43711458
734,52862916
735,52634917
736,54445208
737,42124458
738,53745125
739,52779541
740,52327875
741,47987458
742,86285792
743,57221666
744,57547584
745,61733500
746,53673000
747,50884500
748,51166459
749,54152167
750,50610708
751,66006417
752,52363708
753,47641958
754,57577459
755,53628833
756,56994917
757,53986000
758,47040125
759,49368250
760,58061000
761,59366167
762,53324542
763,44126459
764,50942250
765,44252125
766,55612166
767,49324709
768,51175667
769,43434500
770,54278291
771,56342167
772,67591667
773,53829292
774,59498000
775,50095209
776,69390125
777,53887583
778,48871791
779,54844542
780,59018458
781,44139084
782,51837875
783,49803291
784,53411583
785,46476959
786,55170583
787,45712125
788,55954876
789,45597458
790,50175709
791,55612458
792,55838083
793,56033083
794,49416083
795,53929541
796,44279791
797,54946833
798,45521333
799,52650958
800,54006417
801,58674292
802,50831500
803,58471583
804,55959666
805,52713459
806,53294500
807,56402834
808,57169708
809,56283458
810,55855083
811,62116708
812,52436542
813,53473625
814,42229417
815,52069333
816,56638167
817,56943709
818,51741875
819,50871125
820,52742625
821,63946334
822,58176542
823,55766542
824,53422083
825,61853583
826,52508667
827,50797625
828,53329167
829,51790625
830,57391375
831,62237000
832,57014708
833,56536125
834,60655541
835,57650708
836,62289041
837,56165000
838,46607334
839,50016083
840,48096917
841,47992625
842,36492709
843,55039375
844,48415834
845,57344250
846,53669792
847,47550333
848,52740458
849,43696083
850,52743500
851,60513583
852,54590500
853,60856834
854,69570375
855,60521708
856,59568209
857,62250666
858,59550125
859,53334500
860,53100916
861,56586292
862,47077625
863,54684458
864,56631834
865,58370208
866,60272417
867,48525125
868,49063916
869,47361875
870,58305084
871,59579834
872,66196792
873,56367750
874,56689208
875,52222041
876,59843500
877,48825292
878,50580417
879,56660375
880,57328125
881,58046708
882,53112250
883,60927208
884,49193375
885,56591583
886,51846208
887,63424542
888,57423084
889,47829042
890,56765500
891,54549416
892,51522167
893,53186625
894,57963917
895,48913333
896,59491333
897,46224167
898,49983250
899,51727875
900,60144791
901,63549626
902,61376292
903,52443375
904,45741334
905,58288584
906,47160209
907,46842833
908,60071375
909,57667834
910,48403250
911,51949000
912,53143041
913,62232083
914,50985334
915,50567958
916,56632500
917,53049458
918,56887584
919,49886875
920,47303208
921,53320000
922,53013375
923,54593000
924,50709208
925,44057208
926,58596833
927,63100334
928,53757875
929,50963750
930,39122875
931,53976208
932,59071125
933,53743333
934,57824792
935,48898041
936,62025833
937,64499833
938,45571959
939,49414875
940,58498709
941,54107375
942,51209292
943,53178625
944,52963250
945,56910417
946,52918541
947,53554042
948,48544250
949,52066791
950,39690125
951,51780708
952,57617375
953,48923042
954,62141250
955,48543292
956,57495583
957,52447334
958,48428583
959,44533167
960,51732083
961,50540750
962,51393125
963,56536833
964,49869416
965,61354541
966,44209250
967,56861417
968,48553334
969,43421334
970,49106541
971,52042791
972,56717834
973,46101458
974,53151667
975,52582625
976,47427833
977,54160125
978,56055792
979,56336959
980,45986250
981,48454125
982,50070833
983,45714792
984,51912708
985,48678083
986,53204792
987,49255084
988,57257333
989,49048500
990,66453875
991,43646334
992,57334126
993,67144458
994,57887916
995,58048417
996,58311417
997,50879750
998,44715541
999,43870917
1000,54460000
