iteration,latency_ns
825,55071084
826,59870291
827,56999167
828,45542167
829,51474958
830,57223875
831,51938584
832,58378959
833,51964375
834,61013042
835,75864083
836,47570084
837,50640875
838,43674542
839,52390501
840,61675333
841,55785625
842,58766084
843,62683667
844,52928667
845,52560250
846,43695625
847,52841459
848,52983375
849,53610417
850,45372917
851,56731417
852,44531500
853,51229417
854,43901875
855,52253334
856,51881083
857,53845958
858,54206291
859,49536458
860,52518750
861,50458041
862,50046833
863,49985209
864,42266083
865,55024375
866,53400251
867,61451500
868,53393000
869,59766542
870,59943625
871,53566625
872,55264542
873,59769792
874,61737666
875,56891667
876,54173875
877,58649334
878,52142334
879,52886583
880,54861708
881,53557000
882,52213667
883,54422000
884,54210916
885,47171916
886,57187166
887,54872167
888,49389917
889,50807708
890,51460416
891,55838167
892,54545666
893,48028833
894,53437000
895,53274625
896,50060417
897,52345208
898,55783167
899,62279875
900,48169584
901,55744708
902,53385208
903,56128458
904,56807708
905,47806625
906,52274125
907,48219542
908,61047875
909,50048416
910,43774500
911,52671083
912,53386875
913,53239250
914,51672625
915,52453875
916,59344375
917,55204459
918,51665666
919,51145250
920,51801584
921,53674500
922,58863167
923,55407250
924,48850958
925,47545250
926,54278167
927,57750875
928,56347500
929,58865542
930,52686000
931,57173708
932,52443625
933,61675625
934,60340333
935,46345375
936,58884458
937,56055834
938,51974000
939,49135291
940,56567333
941,44028417
942,47544125
943,50452500
944,53916833
945,52643833
946,56329375
947,48588625
948,53130209
949,56803208
950,53507667
951,46589375
952,63411541
953,43929208
954,54449750
955,51178625
956,53831791
957,49627333
958,62173792
959,46236542
960,58275667
961,68271958
962,66490750
963,73115209
964,66894375
965,57436375
966,54097416
967,42941417
968,66468834
969,49471125
970,54513958
971,52792542
972,52095792
973,53957291
974,54780625
975,54465666
976,50854542
977,45315541
978,53298000
979,53502917
980,50967000
981,53560916
982,44861833
983,57443209
984,52473709
985,57193791
986,52364250
987,51058041
988,53662750
989,53776625
990,60198208
991,47707500
992,59611625
993,58385042
994,56794792
995,51455125
996,50703917
997,53328625
998,53781750
999,52757416
1000,63639958
